id,text,label
1,"I love this product, it works great!",Positive
2,"The service was terrible and I’m disappointed.",Negative
3,"It’s okay, nothing special.",Neutral
4,"This app is very helpful and easy to use.",Positive
5,"The food was cold when it arrived.",Negative
6,"I don’t really have an opinion on this.",Neutral
7,"Amazing experience! Highly recommend.",Positive
8,"Worst purchase I’ve made in a long time.",Negative
9,"Not bad, but could be improved.",Neutral
10,"Absolutely fantastic, exceeded expectations!",Positive
